Symbol,Date,Open,High,Low,Close,Volume,Average,Prev_Close,TR,ATR
AAPL,2026-06-04,313.16,313.54,309.65,311.23,21852835.0,311.277,,3.890000000000043,3.89
AAPL,2026-06-05,312.84,315.17,307.15,307.34,38320422.0,311.368,311.23,8.020000000000039,4.4407
AAPL,2026-06-08,308.74,317.4,301.17,301.54,54222408.0,309.078,307.34,16.22999999999996,6.0126
AAPL,2026-06-09,300.24,300.75,287.78,290.55,46893234.0,292.314,301.54,13.760000000000048,7.0456
AAPL,2026-06-10,290.77,294.75,287.38,291.58,32454283.0,291.302,290.55,7.3700000000000045,7.0888
AAPL,2026-06-11,293.71,297.0,289.59,295.63,26024201.0,293.613,291.58,7.410000000000025,7.1316
AAPL,2026-06-12,295.9,297.14,289.62,291.13,24993876.0,291.683,295.63,7.519999999999982,7.1834
AAPL,2026-06-15,294.04,297.78,291.7,296.42,25833810.0,295.898,291.13,6.649999999999977,7.1123
AAPL,2026-06-16,295.15,300.48,293.97,299.24,22776487.0,298.24,296.42,6.509999999999991,7.032
AAPL,2026-06-17,300.89,302.07,294.36,295.95,23706566.0,297.601,299.24,7.7099999999999795,7.1224
AAPL,2026-06-18,297.96,300.57,295.62,298.01,32718459.0,298.159,295.95,4.949999999999989,6.8327
AAPL,2026-06-22,297.31,302.42,296.76,297.01,23837329.0,299.51,298.01,5.660000000000025,6.6764
AAPL,2026-06-23,297.54,301.64,294.18,294.3,29993150.0,297.888,297.01,7.4599999999999795,6.7809
AAPL,2026-06-24,295.38,299.7,292.94,293.08,28100766.0,295.794,294.3,6.759999999999991,6.7781
