Symbol,Date,Open,High,Low,Close,Volume,Average,Prev_Close,TR,ATR
MSFT,2026-06-04,435.98,436.11,426.41,428.05,15466776.0,429.574,,9.699999999999989,9.7
MSFT,2026-06-05,428.09,429.47,414.4,416.67,18823665.0,420.452,428.05,15.07000000000005,10.416
MSFT,2026-06-08,414.14,417.16,408.56,411.74,17575268.0,411.909,416.67,8.600000000000023,10.1739
MSFT,2026-06-09,409.2,411.98,398.48,403.41,20611111.0,404.913,411.74,13.5,10.6174
MSFT,2026-06-10,398.51,405.04,397.16,397.36,15849755.0,401.196,403.41,7.8799999999999955,10.2524
MSFT,2026-06-11,395.49,396.85,384.0,390.34,28548836.0,388.802,397.36,13.360000000000014,10.6667
MSFT,2026-06-12,391.31,391.74,382.27,390.74,21684508.0,386.764,390.34,9.470000000000027,10.5072
MSFT,2026-06-15,396.64,401.75,392.84,399.76,17264759.0,398.466,390.74,11.009999999999991,10.5742
MSFT,2026-06-16,395.9,396.84,390.69,393.83,17685666.0,393.055,399.76,9.069999999999993,10.3736
MSFT,2026-06-17,390.19,390.37,377.32,378.91,23993095.0,383.971,393.83,16.50999999999999,11.1918
MSFT,2026-06-18,377.82,381.37,373.28,379.4,28367167.0,377.735,378.91,8.090000000000032,10.7782
MSFT,2026-06-22,375.74,381.63,367.07,367.34,24658641.0,371.585,379.4,14.560000000000002,11.2825
MSFT,2026-06-23,372.35,377.22,370.67,373.94,22267446.0,373.799,367.34,9.880000000000052,11.0955
MSFT,2026-06-24,371.81,378.88,364.78,365.46,22383288.0,371.235,373.94,14.100000000000023,11.4961
