Symbol,Date,Open,High,Low,Close,Volume,Average,Prev_Close,TR,ATR
SLV,2026-06-04,67.5,67.72,66.2,66.98,8581955.0,66.955,,1.519999999999996,1.52
SLV,2026-06-05,64.06,64.25,61.35,61.57,28741119.0,62.502,66.98,5.630000000000003,2.068
SLV,2026-06-08,62.03,62.3,61.23,61.58,14784589.0,61.817,61.57,1.0700000000000003,1.9349
SLV,2026-06-09,61.82,62.43,58.22,59.01,26005477.0,59.506,61.58,4.210000000000001,2.2383
SLV,2026-06-10,58.22,59.47,57.62,57.66,20116652.0,58.503,59.01,1.8500000000000014,2.1865
SLV,2026-06-11,57.45,61.1,57.3,60.82,23122021.0,59.14,57.66,3.8000000000000043,2.4016
SLV,2026-06-12,60.53,61.83,59.86,61.29,15260982.0,60.87,60.82,1.9699999999999989,2.3441
SLV,2026-06-15,64.28,64.5,63.24,63.47,15443864.0,63.893,61.29,3.210000000000001,2.4595
SLV,2026-06-16,63.7,63.85,62.76,63.39,10172346.0,63.364,63.47,1.0900000000000034,2.2769
SLV,2026-06-17,63.53,64.69,60.38,60.61,26965488.0,62.493,63.39,4.309999999999995,2.548
SLV,2026-06-18,60.74,61.12,58.85,59.51,20403837.0,59.799,60.61,2.269999999999996,2.5109
SLV,2026-06-22,60.07,60.33,58.75,58.91,12599581.0,59.349,59.51,1.5799999999999983,2.3868
SLV,2026-06-23,56.14,56.51,55.46,55.73,14684491.0,56.019,58.91,3.4499999999999957,2.5286
SLV,2026-06-24,52.97,53.9,50.31,51.78,41284345.0,52.061,55.73,5.419999999999995,2.9141
