time,symbol,open,high,low,close,volume,wap,count
2026-08-05 16:30:00,NVDA,216.8500,217.2300,216.4000,216.8200,1841210.0000,217.0530,535
2026-08-05 16:30:05,NVDA,216.8000,217.1500,216.4300,216.8500,255253.0000,216.8460,1218
2026-08-05 16:30:10,NVDA,216.8200,217.7400,216.6500,217.5000,267482.0000,217.3550,1282
2026-08-05 16:30:15,NVDA,217.5000,217.7700,217.4300,217.7700,142999.0000,217.6610,662
2026-08-05 16:30:20,NVDA,217.7200,218.0000,217.5600,218.0000,275180.0000,217.9180,965
2026-08-05 16:30:25,NVDA,218.1000,218.4100,217.9800,218.3100,249461.0000,218.2050,1321
2026-08-05 16:30:30,NVDA,218.3200,218.8800,218.1600,218.7700,309107.0000,218.6330,1116
2026-08-05 16:30:35,NVDA,218.7700,219.0000,218.6900,218.8000,215324.0000,218.8660,873
2026-08-05 16:30:40,NVDA,218.8400,218.8800,218.1200,218.4900,91906.0000,218.5160,490
2026-08-05 16:30:45,NVDA,218.4700,219.0800,217.9200,217.9500,215476.0000,218.7000,737
2026-08-05 16:30:50,NVDA,218.0100,218.1100,217.5700,217.6000,95548.0000,217.8460,461
2026-08-05 16:30:55,NVDA,217.6000,217.9600,217.4400,217.9300,68853.0000,217.6540,364
2026-08-05 16:31:00,NVDA,217.9400,218.2500,217.8500,217.8800,147936.0000,218.0270,595
2026-08-05 16:31:05,NVDA,217.8500,218.4700,217.8500,218.4600,88877.0000,218.1250,349
2026-08-05 16:31:10,NVDA,218.4500,219.0500,218.3800,218.8700,136624.0000,218.8560,654
2026-08-05 16:31:15,NVDA,218.8700,219.0500,218.7200,218.9500,84858.0000,218.8530,396
2026-08-05 16:31:20,NVDA,218.9300,219.0000,218.5400,218.8800,83583.0000,218.7990,422
2026-08-05 16:31:25,NVDA,218.7700,218.9900,218.7500,218.9100,126800.0000,218.8800,433
2026-08-05 16:31:30,NVDA,218.9000,219.2800,218.8600,219.2400,130631.0000,219.1560,499
2026-08-05 16:31:35,NVDA,219.2500,219.3600,219.1500,219.2200,105455.0000,219.2550,536
2026-08-05 16:31:40,NVDA,219.2000,219.3300,218.9700,219.1300,70994.0000,219.1700,362
2026-08-05 16:31:45,NVDA,219.1000,219.2700,218.8000,219.2000,102977.0000,219.0250,453
2026-08-05 16:31:50,NVDA,219.2000,219.3700,219.0100,219.1400,108528.0000,219.2010,473
2026-08-05 16:31:55,NVDA,219.0900,219.3700,219.0700,219.1500,53848.0000,219.1790,242
2026-08-05 16:32:00,NVDA,219.1100,219.3900,218.9700,219.2900,81071.0000,219.1610,389
2026-08-05 16:32:05,NVDA,219.3200,219.6000,219.2600,219.5000,192476.0000,219.4270,713
2026-08-05 16:32:10,NVDA,219.4800,219.6000,219.0700,219.1800,107814.0000,219.4020,549
2026-08-05 16:32:15,NVDA,219.1500,219.3000,218.5400,218.5400,118544.0000,218.8640,487
2026-08-05 16:32:20,NVDA,218.5100,218.5400,218.1100,218.5400,231646.0000,218.2870,965
2026-08-05 16:32:25,NVDA,218.5100,218.8000,218.4100,218.7300,41500.0000,218.5360,222
2026-08-05 16:32:30,NVDA,218.7000,218.7900,218.5600,218.7600,58378.0000,218.6690,289
2026-08-05 16:32:35,NVDA,218.7400,218.7700,218.2300,218.4800,85180.0000,218.4270,411
2026-08-05 16:32:40,NVDA,218.4800,218.6800,218.4200,218.6400,59169.0000,218.5640,291
2026-08-05 16:32:45,NVDA,218.6500,218.6600,218.3100,218.5500,44646.0000,218.4920,229
2026-08-05 16:32:50,NVDA,218.5300,218.6600,218.4500,218.4500,34475.0000,218.5830,185
2026-08-05 16:32:55,NVDA,218.4700,218.5800,218.2000,218.5800,55987.0000,218.4410,326
2026-08-05 16:33:00,NVDA,218.5700,218.7500,218.5600,218.6900,47833.0000,218.6680,243
2026-08-05 16:33:05,NVDA,218.6800,218.7500,218.5900,218.7500,40906.0000,218.6600,205
2026-08-05 16:33:10,NVDA,218.7500,219.0000,218.6300,218.9300,152762.0000,218.8370,616
2026-08-05 16:33:15,NVDA,218.9300,219.0000,218.8300,218.9000,71794.0000,218.8970,310
2026-08-05 16:33:20,NVDA,218.8900,218.9200,218.7400,218.8500,57472.0000,218.8190,270
2026-08-05 16:33:25,NVDA,218.9000,218.9300,218.6000,218.7000,65755.0000,218.7490,304
2026-08-05 16:33:30,NVDA,218.7100,218.9400,218.6400,218.9300,117494.0000,218.7660,643
2026-08-05 16:33:35,NVDA,218.9200,218.9400,218.7000,218.8100,142117.0000,218.7920,515
2026-08-05 16:33:40,NVDA,218.8200,218.8400,218.4200,218.4500,76403.0000,218.6090,335
2026-08-05 16:33:45,NVDA,218.4500,218.5200,218.2900,218.3700,62618.0000,218.3970,302
2026-08-05 16:33:50,NVDA,218.3900,218.9300,218.3900,218.9300,55092.0000,218.6990,315
2026-08-05 16:33:55,NVDA,218.9200,218.9300,218.7000,218.8000,68704.0000,218.8250,310
2026-08-05 16:34:00,NVDA,218.8000,218.9700,218.7700,218.8100,90964.0000,218.8670,430
2026-08-05 16:34:05,NVDA,218.8000,218.8700,218.6000,218.8100,138144.0000,218.7460,770
2026-08-05 16:34:10,NVDA,218.8100,218.8300,218.6400,218.8200,78353.0000,218.7290,362
2026-08-05 16:34:15,NVDA,218.8200,218.8200,218.4600,218.6300,143573.0000,218.6280,459
2026-08-05 16:34:20,NVDA,218.6000,218.7600,218.5200,218.6500,99211.0000,218.6490,405
2026-08-05 16:34:25,NVDA,218.6600,218.8000,218.6300,218.7500,56946.0000,218.7320,302
2026-08-05 16:34:30,NVDA,218.7700,218.7700,218.5500,218.5900,87460.0000,218.6640,425
2026-08-05 16:34:35,NVDA,218.5600,218.6500,218.4300,218.4600,47220.0000,218.5350,229
2026-08-05 16:34:40,NVDA,218.4200,218.4400,217.9500,218.0700,120728.0000,218.1320,591
2026-08-05 16:34:45,NVDA,218.0700,218.2600,218.0300,218.1600,60855.0000,218.1480,360
2026-08-05 16:34:50,NVDA,218.1400,218.4200,218.0600,218.4000,69562.0000,218.1910,335
2026-08-05 16:34:55,NVDA,218.3800,218.5000,218.3200,218.3700,54025.0000,218.3940,277
2026-08-05 16:35:00,NVDA,218.3700,218.6600,218.2500,218.5600,124763.0000,218.4820,389
2026-08-05 16:35:05,NVDA,218.5500,218.7400,218.2700,218.3200,131749.0000,218.5690,631
2026-08-05 16:35:10,NVDA,218.3200,218.6800,218.2800,218.5100,73684.0000,218.5050,261
2026-08-05 16:35:15,NVDA,218.5300,218.5300,218.2600,218.3600,48923.0000,218.4350,204
2026-08-05 16:35:20,NVDA,218.3800,218.5200,218.3300,218.5000,51500.0000,218.4520,212
2026-08-05 16:35:25,NVDA,218.5000,218.7200,218.4900,218.7000,40389.0000,218.6210,185
2026-08-05 16:35:30,NVDA,218.7000,218.9000,218.5700,218.8100,95371.0000,218.7180,366
2026-08-05 16:35:35,NVDA,218.8000,219.1500,218.7900,219.0000,187363.0000,219.0340,756
2026-08-05 16:35:40,NVDA,218.9900,219.2900,218.9800,219.0000,144461.0000,219.0740,477
2026-08-05 16:35:45,NVDA,219.0000,219.0800,218.7000,218.9200,39896.0000,218.8580,197
2026-08-05 16:35:50,NVDA,218.9000,218.9600,218.8200,218.9400,51198.0000,218.8840,165
2026-08-05 16:35:55,NVDA,218.9600,218.9900,218.8500,218.9000,34958.0000,218.9210,184
2026-08-05 16:36:00,NVDA,218.9100,219.1900,218.9100,219.1500,54901.0000,219.1190,182
2026-08-05 16:36:05,NVDA,219.1500,219.3800,218.9200,219.2700,73228.0000,219.2680,309
2026-08-05 16:36:10,NVDA,219.2900,219.3200,219.1200,219.1900,83038.0000,219.2230,325
2026-08-05 16:36:15,NVDA,219.1900,219.5800,219.1800,219.5300,108993.0000,219.4120,371
2026-08-05 16:36:20,NVDA,219.5300,219.5900,219.3000,219.3600,62761.0000,219.4440,269
2026-08-05 16:36:25,NVDA,219.3400,219.3400,219.1400,219.2000,55445.0000,219.2270,229
2026-08-05 16:36:30,NVDA,219.2200,219.2500,218.9700,219.1600,52436.0000,219.1140,256
2026-08-05 16:36:35,NVDA,219.1700,219.2400,219.0800,219.1900,45801.0000,219.1510,238
2026-08-05 16:36:40,NVDA,219.1900,219.2100,219.0700,219.1600,35730.0000,219.1490,174
2026-08-05 16:36:45,NVDA,219.1300,219.1800,218.7000,218.9000,89801.0000,218.9010,386
2026-08-05 16:36:50,NVDA,218.8900,219.4200,218.8500,219.4100,75823.0000,219.1310,334
2026-08-05 16:36:55,NVDA,219.4000,219.4300,219.0600,219.2800,75204.0000,219.2150,315
2026-08-05 16:37:00,NVDA,219.2600,219.3100,218.9500,219.3100,51268.0000,219.1100,271
2026-08-05 16:37:05,NVDA,219.3300,219.5600,219.3000,219.5200,75272.0000,219.4520,381
2026-08-05 16:37:10,NVDA,219.5200,219.6000,219.3300,219.4000,96737.0000,219.4610,391
2026-08-05 16:37:15,NVDA,219.3800,219.4400,219.1700,219.3900,59691.0000,219.3570,285
2026-08-05 16:37:20,NVDA,219.3800,219.6300,219.3600,219.5200,97702.0000,219.5050,459
2026-08-05 16:37:25,NVDA,219.5100,219.6800,219.4900,219.6700,63733.0000,219.6100,265
2026-08-05 16:37:30,NVDA,219.6700,219.7900,219.6500,219.7300,142388.0000,219.7190,526
2026-08-05 16:37:35,NVDA,219.7400,219.7800,219.6500,219.7200,67120.0000,219.7200,275
2026-08-05 16:37:40,NVDA,219.7400,219.8500,219.5800,219.8300,107737.0000,219.7320,502
2026-08-05 16:37:45,NVDA,219.8300,219.9000,219.7000,219.7800,87444.0000,219.8220,318
2026-08-05 16:37:50,NVDA,219.7700,219.9300,219.7300,219.8900,128322.0000,219.8440,398
2026-08-05 16:37:55,NVDA,219.8700,219.9500,219.7300,219.7800,86307.0000,219.8870,384
